Date,SPX Index,USGG10YR Index,CL1 Comdty,lbustruu index,MXEF Index,JPY Curncy,GC1 Comdty,SPX Volume
7/9/04,1112.81,4.46,39.96,1169.45,429.25,108.2,407.9,4373893952
7/16/04,1101.39,4.35,41.25,1174.81,428.58,108.71,406.8,5417521920
7/23/04,1086.2,4.43,41.71,1171.61,421.41,110.19,390.5,5905918976
7/30/04,1101.72,4.47,43.8,1171.68,423.14,111.36,391,5798127872
8/6/04,1063.97,4.22,43.95,1185.54,421.28,110.48,399.8,5196859392
8/13/04,1064.8,4.23,46.58,1186.62,421.79,110.7,398.9,4967705984
8/20/04,1098.35,4.23,47.86,1187.35,432.2,109.12,413.2,4828540160
8/27/04,1107.77,4.23,43.18,1188.57,438.12,109.69,403.3,3914171840
9/3/04,1113.63,4.29,43.99,1186.35,442.46,110.48,401,4334794944
9/10/04,1123.92,4.19,42.81,1193.38,450.56,109.67,402.3,4436426304
9/17/04,1128.55,4.11,45.59,1196.51,460.68,109.83,406.1,5626565120
9/24/04,1110.11,4.03,48.88,1200.41,461.29,110.63,408.1,5608178176
10/1/04,1131.5,4.19,50.12,1194.2,470.55,110.54,419.5,6269438272
10/8/04,1122.14,4.13,53.31,1198.82,481.7,109.53,423.1,5973498112
10/15/04,1108.2,4.05,54.93,1203.52,466.45,109.33,418.7,5844139072
10/22/04,1095.74,3.97,55.17,1207.36,468.15,107.26,424.6,6722729600
10/29/04,1130.2,4.02,51.76,1207.31,474.27,105.81,429.4,6659674752
11/5/04,1166.17,4.17,49.61,1200.99,490.35,105.58,434.3,7120858496
11/12/04,1184.17,4.18,47.32,1201.42,497.78,105.57,438.3,6149321600
11/19/04,1170.34,4.2,48.44,1202.46,505.8,103.1,447,6266075904
11/26/04,1182.65,4.25,49.44,1201.64,511.7,102.59,449.3,3684967424
12/3/04,1191.17,4.25,42.54,1202.71,520.82,102.09,456,6753239552
12/10/04,1188,4.15,40.71,1208.91,503.92,105.23,433.9,6325461888
12/17/04,1194.22,4.2,46.28,1206.75,520.91,104.19,441.6,8096591104
12/24/04,1210.13,4.21,44.18,1207.51,531.6,103.68,441.9,4681211840
12/31/04,1211.92,4.22,43.45,1208.7,542.17,102.63,438.4,3829564032
1/7/05,1186.19,4.27,45.43,1206.26,518.96,104.76,419.5,6918184576
1/14/05,1184.52,4.21,48.38,1210.55,528.16,102.05,423,6479640320
1/21/05,1167.87,4.14,48.53,1215.54,525.49,102.7,426.9,5555369472
1/28/05,1171.36,4.14,47.18,1215.7,535.71,103.28,425.8,7023498112
2/4/05,1203.03,4.08,46.48,1220,549.46,104.09,414,6893083392
2/11/05,1205.3,4.08,47.16,1219.8,553.84,105.72,420.5,6150660480
2/18/05,1201.59,4.27,48.35,1213.48,566.62,105.65,427.1,6267755584
2/25/05,1211.37,4.26,51.49,1213.04,581.73,105.23,436.1,5237379072
3/4/05,1222.12,4.31,53.78,1212.64,585.26,104.78,435.1,6718213632
3/11/05,1200.08,4.54,54.43,1202.12,585.03,104,446.8,6366922880
3/18/05,1189.65,4.51,56.72,1203.14,564.03,104.75,439.7,7289950080
3/25/05,1171.42,4.59,54.84,1197.78,548.44,106.39,424.8,5242010752
4/1/05,1172.92,4.45,57.27,1205.44,555.86,107.56,425.9,6782090496
4/8/05,1181.2,4.47,53.32,1203.93,555.44,108.24,426.9,6234237696
4/15/05,1142.62,4.24,50.49,1213.97,535.99,107.8,424.9,7272759488
4/22/05,1152.12,4.24,55.39,1216.75,537.62,106.01,434.3,7582256000
4/29/05,1156.85,4.2,49.72,1219.18,531.99,104.75,436.1,6824476032
5/6/05,1171.35,4.26,50.96,1216.87,550.78,105.06,426.9,6648634880
5/13/05,1154.05,4.12,48.67,1222.59,537.3,107.32,420.7,6354335488
5/20/05,1189.28,4.12,46.8,1223.51,544.38,108.16,417.7,6212089728
5/27/05,1198.78,4.07,51.85,1228.25,550.5,107.92,419.8,5198162880
6/3/05,1196.02,3.97,55.03,1234.27,555.79,107.7,423.7,4623988416
6/10/05,1198.11,4.05,53.54,1230.96,556.16,108.67,427.4,5447214784
6/17/05,1216.96,4.07,58.47,1230.74,569.96,108.58,438.3,6090988032
6/24/05,1191.57,3.92,59.84,1239.51,567.25,109.05,440.5,6234281088
7/1/05,1194.44,4.05,58.75,1234.47,568.16,111.78,428.8,5768505472
7/8/05,1211.86,4.09,59.63,1232.29,564.09,112.23,423.8,4831322880
7/15/05,1227.92,4.16,58.09,1231,582.83,112.16,421.3,5957545984
7/22/05,1233.68,4.22,58.65,1229.47,596.12,111.34,425,6268850880
7/29/05,1234.18,4.28,60.57,1227.81,602.56,112.5,429.9,5763210112
8/5/05,1226.42,4.39,62.31,1222.44,615.71,111.93,437.2,5854564032
8/12/05,1230.39,4.24,66.86,1230.75,621.3,109.38,445.9,5757575104
8/19/05,1219.71,4.21,65.35,1232.64,604.18,110.46,437.2,5222843392
8/26/05,1205.1,4.19,66.13,1234.44,604.76,110.2,437.4,4982971520
9/2/05,1218.02,4.04,67.57,1244.03,624,109.82,445.4,5795483968
9/9/05,1241.48,4.12,64.08,1239.7,633.59,109.68,450,4691383680
9/16/05,1237.91,4.27,63,1233.87,640.21,111.35,460.3,7395500032
9/23/05,1215.29,4.25,64.19,1234.79,640.73,112.5,463.9,6635391360
9/30/05,1228.81,4.32,66.24,1230.74,661.32,113.51,469,6200363392
10/7/05,1195.9,4.35,61.84,1230.13,637.9,113.82,474.7,7159177728
10/14/05,1186.57,4.48,62.63,1223.57,618.36,114.09,469.2,6836573952
10/21/05,1179.59,4.38,60.63,1229.71,607.83,115.91,467,7189784960
10/28/05,1198.41,4.56,61.22,1220.44,605.69,115.67,474.8,6908691072
11/4/05,1220.14,4.66,60.58,1214.89,637.38,118.34,457.9,7789889024
11/11/05,1234.72,4.53,57.53,1221.03,646.64,118.02,469.4,6223525696
11/18/05,1248.27,4.49,56.14,1224.66,657.74,119.11,486.2,6608288000
11/25/05,1268.25,4.43,58.71,1230.2,667.16,119.63,492.3,4253418560
12/2/05,1265.08,4.51,59.32,1225.2,679.1,120.59,503.3,6569485952
12/9/05,1259.37,4.52,59.39,1226.44,683.73,120.66,527,6213297920
12/16/05,1267.32,4.43,58.06,1233.18,689.64,115.68,503.4,7167107328
12/23/05,1268.66,4.37,58.43,1237.79,703.32,116.26,503,5464144064
12/30/05,1248.29,4.39,61.04,1238.06,706.48,117.75,518.9,3282734720
1/6/06,1285.45,4.37,64.21,1241.3,744.63,114.44,541.2,5876721152
1/13/06,1287.61,4.35,63.92,1244.44,756.75,114.18,557,6807345280
1/20/06,1261.49,4.35,68.35,1245.08,754.22,115.29,554,6160687744
1/27/06,1283.72,4.51,67.76,1238.49,779.37,117.33,558.8,8945345536
2/3/06,1264.03,4.52,65.37,1237.87,767.59,118.95,567.4,8717724800
2/10/06,1266.99,4.58,61.84,1235.31,771.21,117.86,550.2,7864954752
2/17/06,1287.24,4.54,59.88,1239.7,778.56,118.06,551.8,7355227520
2/24/06,1289.43,4.57,62.91,1240.05,786.06,116.9,558.8,5496145792
3/3/06,1287.23,4.68,63.67,1234.68,784.85,116.38,568,8034788096
3/10/06,1281.58,4.76,59.96,1231.91,752.45,119.01,541.3,7471551488
3/17/06,1307.25,4.67,62.77,1238.16,782.39,115.92,555.1,8066684416
3/24/06,1302.95,4.67,64.26,1239.02,774.14,117.46,560.5,7302472448
3/31/06,1294.83,4.85,66.63,1230.05,787.8,117.78,581.8,7354466048
4/7/06,1295.5,4.98,67.39,1225.88,814.06,118.3,588.4,7491854976
4/14/06,1289.12,5.04,69.32,1222.79,809.06,118.69,596.5,5196966400
4/21/06,1311.28,5.01,75.17,1227.39,843.6,116.59,632.2,8138386432
4/28/06,1310.61,5.05,71.88,1227.82,841.58,113.83,654.5,8843306112
5/5/06,1325.76,5.1,70.19,1225.96,870.38,112.58,684.3,7957043584
5/12/06,1291.24,5.19,72.04,1221.72,856.95,110.03,711.8,7846575872
5/19/06,1267.03,5.06,68.53,1229.14,786.47,111.69,657.5,8808368896
5/26/06,1280.16,5.05,71.37,1230.01,769.7,112.67,651,8141491584
6/2/06,1288.22,4.99,72.33,1234.79,767.11,111.74,635.5,6217446272
6/9/06,1252.3,4.97,71.63,1235.35,706.1,113.98,608.2,8348145024
6/16/06,1251.54,5.13,69.88,1227.38,706.75,115.2,578,9012278656
6/23/06,1244.5,5.22,70.87,1221.68,699.76,116.54,584.8,6837459584
